H (km)	T (°C)	P (kPa)	(kgm-3)
0	15.0	101.325	1.2250
1	8.5	89.874	1.1116
2	2.0	79.495	1.0065
3	-4.5	70.108	0.9091
4	-11.0	61.640	0.8191
5	-17.5	54.019	0.7361
6	-24.0	47.181	0.6597
7	-30.5	41.060	0.5895
8	-37.0	35.599	0.5252
9	-43.5	30.742	0.4664
10	-50.0	26.436	0.4127
11	-56.5	22.632	0.3639
13	-56.5	16.510	0.2655
15	-56.5	12.044	0.1937
17	-56.5	8.787	0.1423
20	-56.5	5.475	0.0880
25	-51.5	2.511	0.0395
30	-46.5	1.172	0.0180
32	-44.5	0.868	0.0132
35	-36.1	0.559	0.0082
40	-22.1	0.278	0.0039
45	-8.1	0.143	0.0019
47	-2.5	0.111	0.0014
50	-2.5	0.076	0.0010
51	-2.5	0.067	0.00086
60	-27.7	0.02031	0.000288
70	-55.7	0.00463	0.000074
71	-58.5	0.00396	0.000064
80	-76.5	0.00089	0.000015
84.9	-86.3	0.00037	0.000007
89.7	-86.3	0.00015	0.000003
100.4	-73.6	0.00002	0.0000005
105	-55.5	0.00001	0.0000002
110	-9.2	0.00001	0.0000001
			
